COD_LATTES_16	TIPVIN	GENERO	PPG_NOME	INSTITUICAO
3355963647616547	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
1388841813412015	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
6737749200665570	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
6976397161261491	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
2126481201660872	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
7479155415193658	COLABORADOR	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
5556499513805582	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
2484200467965399	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
9613980184982976	COLABORADOR	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
0339496971217162	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
1678579864255236	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
8152394509168605	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
9936991322389586	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
9296179246118904	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
9550647395377220	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
3172995771315859	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
5819951651545585	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
0976534900847907	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
0924734376057863	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
6085807397296909	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
7647896359798477	COLABORADOR	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CEARÁ
0644851336615059	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CEARÁ
7584115523461248	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CEARÁ
6346079652322359	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CEARÁ
3383299470190507	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CEARÁ
9393190768810116	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CEARÁ
8811165871130066	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CEARÁ
2053936680844527	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CEARÁ
4580502642241951	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CEARÁ
9944781887088838	COLABORADOR	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CEARÁ
1759902798115392	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CEARÁ
2825957670105564	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CEARÁ
2401685290370393	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CEARÁ
1806063717574977	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CARIRI
0013890432793373	COLABORADOR	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CARIRI
0939531253224149	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CARIRI
1273037072033521	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CARIRI
5619979866984830	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CARIRI
1365092858604074	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CARIRI
4998271672992540	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CARIRI
3561131844492762	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CARIRI
0148195378287401	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CARIRI
1769678534430582	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CARIRI
4043001469234206	PERMANENTE	Masculino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CARIRI
3948252543083879	PERMANENTE	Feminino	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CARIRI
