ID_LATTES	NM_PROGRAMA_IES	NM_ENTIDADE_ENSINO
0726302720276132	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
3043897632138906	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
3203712465096936	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
7226534838995252	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
4675648528793125	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
1123038118413853	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
7193472884154878	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
9403441722826732	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
4543535405121206	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
1688540976803513	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
9333404937259230	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
8190242701584269	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
7597928710439425	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
4630522734036641	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
4483880021177489	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
3424847554023065	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
4851172736404835	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
5801501389356871	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
1902788698931900	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
3262699324398819	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
5277492107669504	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
9637804118675867	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
3656763455168957	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
0129423635403864	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
6838723975612043	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
2553432941637716	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
6915992511951986	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
6528211766075000	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
4693674427102054	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
0049341984494164	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
9392068753290032	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
8967178363592981	ADMINISTRAÇÃO (PROFISSIONAL)	Universidade Federal do Rio Grande do Sul
1704115053163728	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
0726302720276132	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
3043897632138906	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
3203712465096936	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
6735490077837110	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
7226534838995252	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
4675648528793125	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
1123038118413853	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
1477430317063576	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
9403441722826732	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
9852713511571140	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
4543535405121206	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
1654356891323370	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
8373564643000623	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
1688540976803513	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
9333404937259230	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
0734321648126694	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
8190242701584269	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
7456942558948851	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
7597928710439425	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
4630522734036641	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
4483880021177489	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
4851172736404835	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
9923109196267398	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
2012931032697595	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
5801501389356871	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
1902788698931900	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
0441646892659099	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
6723737598210318	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
3262699324398819	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
5277492107669504	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
6210892207375596	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
9637804118675867	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
3656763455168957	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
0129423635403864	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
6838723975612043	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
5309054259572811	ADMINISTRAÇÃO	Universidade Federal do Rio Grande do Sul
