ID_LATTES	NM_PROGRAMA_IES	NM_ENTIDADE_ENSINO
3355963647616547	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
1388841813412015	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
6737749200665570	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
6976397161261491	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
2126481201660872	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
7479155415193658	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
5556499513805582	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
2484200467965399	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
9613980184982976	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
0339496971217162	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
1678579864255236	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
8152394509168605	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
9936991322389586	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
9296179246118904	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
9550647395377220	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
3172995771315859	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
5819951651545585	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
0976534900847907	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
0924734376057863	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
6085807397296909	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO PARÁ
7647896359798477	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CEARÁ
0644851336615059	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CEARÁ
7584115523461248	CIÊNCIA DA INFORMAÇÃO	UNIVERSIDADE FEDERAL DO CEARÁ
